['gcode_macro 	_bedfansfast'].description : G-Code macro
['gcode_macro 	_bedfansfastplus_02'].description : G-Code macro
['gcode_macro 	_bedfansoff'].description : G-Code macro
['gcode_macro 	_bedfansslow'].description : G-Code macro
['gcode_macro 	_cg28'].description : G-Code macro
['gcode_macro 	_check_consitent'].description : Helper: Check that some criterias are meet in the printer.cfg
['gcode_macro 	_check_consitent'].description : Helper: Check that some criterias are meet in the printer.cfg
['gcode_macro 	_checkprobe'].description : G-Code macro
['gcode_macro 	_cool_wait'].description : Cooling cycle waiting routine
['gcode_macro 	_cool_wait'].description : Cooling cycle waiting routine
['gcode_macro 	_current_state'].description : G-Code macro
['gcode_macro 	_deployklickydock'].description : Deploys Klicky servo-controlled dock
['gcode_macro 	_deployklickydock'].description : Deploys Klicky servo-controlled dock
['gcode_macro 	_disable_progress_bar'].description : G-Code macro
['gcode_macro 	_do_error_if_probe_deployed'].description : G-Code macro
['gcode_macro 	_do_error_if_probe_not_deployed'].description : G-Code macro
['gcode_macro 	_enable_progress_bar'].description : G-Code macro
['gcode_macro 	_entry_point'].description : G-Code macro
['gcode_macro 	_error_if_probe_deployed'].description : G-Code macro
['gcode_macro 	_error_if_probe_not_deployed'].description : G-Code macro
['gcode_macro 	_execute_at_init'].description : Helper: Everything that should run at klipper start
['gcode_macro 	_execute_at_init'].description : Helper: Everything that should run at klipper start
['gcode_macro 	_exit_point'].description : G-Code macro
['gcode_macro 	_fan_stoppage_routine'].description : G-Code macro
['gcode_macro 	_filament_ready'].description : Performs filament specific purgeline and readies for print
['gcode_macro 	_filament_ready'].description : Performs filament specific purgeline and readies for print
['gcode_macro 	_general_debug'].description : G-Code macro
['gcode_macro 	_general_entry_point'].description : G-Code macro
['gcode_macro 	_general_exit_point'].description : G-Code macro
['gcode_macro 	_global_vars'].description : Helper: Contains global defined printer variables
['gcode_macro 	_global_vars'].description : Helper: Contains global defined printer variables
['gcode_macro 	_heat_wait'].description : Heating cycle waiting routine
['gcode_macro 	_heat_wait'].description : Heating cycle waiting routine
['gcode_macro 	_home_z'].description : G-Code macro
['gcode_macro 	_homing_variables'].description : G-Code macro
['gcode_macro 	_hotend_fan_check'].description : G-Code macro
['gcode_macro 	_klicky_check_variables_version'].description : G-Code macro
['gcode_macro 	_klicky_status_busy'].description : G-Code macro
